Class,Biological Process,Gene
Adaptive Immunity,T cells,CD70 
Adaptive Immunity,T cells,CD80 
Adaptive Immunity,T cells,CD86 
Adaptive Immunity,T cells,CD8A 
Adaptive Immunity,T cells,CD8B 
Adaptive Immunity,T cells,CTAG1B 
Adaptive Immunity,T cells,CTLA4 
Adaptive Immunity,T cells,CXCL10 
Adaptive Immunity,T cells,CXCL11 
Adaptive Immunity,T cells,CXCL9 
Adaptive Immunity,T cells,CXCR3 
Adaptive Immunity,T cells,CXCR5 
Adaptive Immunity,T cells,DPP4 
Adaptive Immunity,T cells,EGR1 
Adaptive Immunity,T cells,EOMES 
Adaptive Immunity,T cells,F2RL1 
Adaptive Immunity,T cells,FAS 
Adaptive Immunity,T cells,FOXP3 
Adaptive Immunity,T cells,GIMAP6 
Adaptive Immunity,T cells,GZMB 
Adaptive Immunity,T cells,HAVCR2 
Adaptive Immunity,T cells,ICOS 
Adaptive Immunity,T cells,IDO1 
Adaptive Immunity,T cells,IFNG 
Adaptive Immunity,T cells,IL11 
Adaptive Immunity,T cells,IL12A 
Adaptive Immunity,T cells,IL12B 
Adaptive Immunity,T cells,IL12RB1 
Adaptive Immunity,T cells,IL12RB2 
Adaptive Immunity,T cells,IL13 
Adaptive Immunity,T cells,IL13RA1 
Adaptive Immunity,T cells,IL13RA2 
Adaptive Immunity,T cells,IL18 
Adaptive Immunity,T cells,IL18R1 
Adaptive Immunity,T cells,IL18RAP 
Adaptive Immunity,T cells,IL2 
Adaptive Immunity,T cells,IL2RA 
Adaptive Immunity,T cells,IL3 
Adaptive Immunity,T cells,IL4 
Adaptive Immunity,T cells,IL4R 
Adaptive Immunity,T cells,IL5 
Adaptive Immunity,T cells,IL7R 
Adaptive Immunity,T cells,IRF1 
Adaptive Immunity,T cells,IRF4 
Adaptive Immunity,T cells,ITGA1 
Adaptive Immunity,T cells,LAG3 
Adaptive Immunity,T cells,LCK 
Adaptive Immunity,T cells,LCP1 
Adaptive Immunity,T cells,LILRB1 
Adaptive Immunity,T cells,LY6E 
Adaptive Immunity,T cells,MAF 
Adaptive Immunity,T cells,MLANA 
Adaptive Immunity,T cells,PDCD1 
Adaptive Immunity,T cells,PDCD1LG2 
Adaptive Immunity,T cells,PTPRC 
Adaptive Immunity,T cells,RAG1 
Adaptive Immunity,T cells,SOCS1 
Adaptive Immunity,T cells,STAT4 
Adaptive Immunity,T cells,STAT6 
Adaptive Immunity,T cells,TAL1 
Adaptive Immunity,T cells,TBX21 
Adaptive Immunity,T cells,TFEB 
Adaptive Immunity,T cells,TIGIT 
Adaptive Immunity,T cells,TNFRSF14 
Adaptive Immunity,T cells,TNFRSF18 
Adaptive Immunity,T cells,TNFSF14 
Adaptive Immunity,T cells,TNFSF18 
Adaptive Immunity,T cells,TP53 
Adaptive Immunity,T cells,VSIR
Adaptive Immunity,T-cell Checkpoints,ADORA2A 
Adaptive Immunity,T-cell Checkpoints,CD27 
Adaptive Immunity,T-cell Checkpoints,CD274 
Adaptive Immunity,T-cell Checkpoints,CD276 
Adaptive Immunity,T-cell Checkpoints,CD28 
Adaptive Immunity,T-cell Checkpoints,CD40 
Adaptive Immunity,T-cell Checkpoints,CD40LG 
Adaptive Immunity,T-cell Checkpoints,CD70 
Adaptive Immunity,T-cell Checkpoints,CD80 
Adaptive Immunity,T-cell Checkpoints,CD86 
