Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
OS,WDR76,0.900519641,0.651817056,0.592298323,1.244115379,0.164905093,-0.635415815,0.525157256,0.882016196,0.066891289,3.357703515,0.066891289
OS,WEE1,0.9183267,0.699315643,0.506611805,1.205927448,0.13900817,-0.6129285,0.539923618,0.882016196,0.892307391,0.01832913,0.892307391
OS,WIF1,0.828254067,0.608192707,0.519747159,1.127939866,0.157568287,-1.19589627,0.231737041,0.882016196,0.826515944,0.048036434,0.826515944
OS,WIPF1,0.932329594,0.696951933,0.550248098,1.247200031,0.148456783,-0.4719817,0.63693985,0.89107514,0.355705224,0.85299933,0.355705224
OS,WNT10A,0.906388806,0.670934226,0.55353851,1.224472735,0.153470805,-0.640427471,0.521894728,0.882016196,0.985981192,0.000308736,0.985981192
OS,WNT10B,0.867030795,0.651905827,0.501239871,1.153145698,0.145499807,-0.980625245,0.32677758,0.882016196,0.789612597,0.071189556,0.789612597
OS,WNT11,1.029522439,0.761229042,0.631146177,1.392375218,0.154041624,0.188877803,0.850188591,0.957591624,0.176226502,1.829162475,0.176226502
OS,WNT16,0.917418809,0.678942768,0.560715876,1.239658644,0.153588153,-0.56118387,0.574672197,0.882016196,0.900558633,0.015613923,0.900558633
OS,WNT2,0.818395594,0.610316162,0.487100865,1.097417028,0.149680664,-1.338913412,0.180598863,0.882016196,0.917488684,0.010732465,0.917488684
OS,WNT2B,0.91603454,0.673482627,0.572457869,1.245940496,0.156937512,-0.558828839,0.576278538,0.882016196,0.647036989,0.20965622,0.647036989
OS,WNT3,0.827344117,0.600327543,0.539880494,1.140208036,0.163648569,-1.158180415,0.246790419,0.882016196,0.399207629,0.710711753,0.399207629
OS,WNT3A,0.891452988,0.642285371,0.594997098,1.23728247,0.167258173,-0.686977352,0.492097001,0.882016196,0.577500517,0.310292882,0.577500517
OS,WNT4,0.927966403,0.692821129,0.550099461,1.24292059,0.149096451,-0.50141871,0.616076475,0.890181229,0.821372451,0.050976656,0.821372451
OS,WNT5A,0.758788435,0.569031462,0.442792888,1.01182435,0.146832938,-1.87990709,0.060120741,0.882016196,0.481911403,0.494534742,0.481911403
OS,WNT5B,0.939817929,0.688553504,0.594219346,1.28277285,0.158723906,-0.391050828,0.695759666,0.906963016,0.911683621,0.012302173,0.911683621
OS,WNT6,0.956661063,0.699704311,0.608277323,1.307981634,0.159590345,-0.277624042,0.781300974,0.930721661,0.938909117,0.005873848,0.938909117
OS,WNT7A,0.988361208,0.732805645,0.600232498,1.333038144,0.152639391,-0.076697457,0.938864228,0.982855685,0.921597625,0.009686786,0.921597625
OS,WNT7B,1.07971395,0.796952331,0.665848101,1.462800432,0.154929662,0.495038485,0.620572955,0.890181229,0.198789205,1.651247647,0.198789205
OS,WRN,1.232306815,0.883574218,0.835104366,1.718678584,0.169731618,1.230695108,0.218436918,0.882016196,0.582591728,0.302063414,0.582591728
OS,WT1,0.859783432,0.629693039,0.544256019,1.173949058,0.158904998,-0.950723679,0.341744665,0.882016196,0.353945349,0.85926182,0.353945349
OS,XCL1.2,0.867660464,0.642308721,0.529767348,1.172076069,0.15343721,-0.925165489,0.354879832,0.882016196,0.559782237,0.340081405,0.559782237
OS,XCR1,0.993174308,0.719869716,0.650371572,1.370241288,0.164205028,-0.04171062,0.966729388,0.989719385,0.733040657,0.116338013,0.733040657
OS,XPA,1.161915042,0.86499681,0.69575642,1.56075323,0.150563482,0.996719389,0.318900736,0.882016196,0.013036603,6.164135966,0.013036603
OS,XRCC4,0.796469756,0.596895204,0.465877736,1.06277294,0.147169845,-1.546282269,0.122036412,0.882016196,0.603922118,0.269120859,0.603922118
OS,YAP1,0.990795251,0.748795863,0.562209282,1.311005145,0.142880944,-0.064720839,0.94839627,0.983047418,0.234570174,1.412932604,0.234570174
OS,YTHDF2,1.146326959,0.852430665,0.689120516,1.541551181,0.151138638,0.903560362,0.366228568,0.882016196,0.32362086,0.974256699,0.32362086
OS,ZAP70,0.853552007,0.627026048,0.534889045,1.161915093,0.157359213,-1.006288739,0.314276696,0.882016196,0.84957923,0.035969143,0.84957923
OS,ZBTB16,0.688943547,0.491886096,0.473059276,0.964945371,0.171897116,-2.167552047,0.030192786,0.882016196,0.570942137,0.321108667,0.570942137
OS,ZBTB20,1.197637597,0.873110585,0.769677669,1.642788254,0.161249905,1.118456146,0.263372226,0.882016196,0.275660344,1.188361336,0.275660344
OS,ZBTB32,0.901555189,0.670737305,0.541066112,1.211803417,0.150892414,-0.686807352,0.492204136,0.882016196,0.932215146,0.007234892,0.932215146
OS,ZC3H12A,0.918614242,0.680249299,0.560254921,1.24050422,0.153271658,-0.553846709,0.579683758,0.882016196,0.954303901,0.003283624,0.954303901
OS,ZEB1,0.89553192,0.630228606,0.642289669,1.272518275,0.17925597,-0.615529926,0.538204812,0.882016196,0.102228475,2.670428843,0.102228475
OS,ZEB2,1.056039015,0.807444127,0.573726859,1.381170986,0.136944633,0.398154561,0.690516258,0.903547869,0.924224963,0.009046509,0.924224963
OS,ZIC2,1.299834668,0.960380731,0.798890471,1.759271202,0.154422509,1.698179105,0.089473963,0.882016196,0.180625808,1.792467526,0.180625808
OS,ZNF205,0.937332888,0.694863265,0.569548004,1.264411269,0.152718829,-0.423764317,0.671737704,0.897443004,0.68201136,0.167870476,0.68201136
PFS,A2M,1.08888024,0.824290022,0.614111689,1.438401711,0.142034604,0.599500851,0.548838943,0.988058847,0.391088177,0.735556007,0.391088177
PFS,ABCB1,0.927896806,0.68101337,0.58326795,1.264281319,0.15782871,-0.474151714,0.635391723,0.988058847,0.522723298,0.408516765,0.522723298
PFS,ABCF1,0.999975954,0.768935724,0.531500551,1.300436275,0.134045244,-0.000179392,0.999856866,0.999856866,0.162469599,1.951088532,0.162469599
PFS,ABL1,1.063727844,0.808281509,0.591622996,1.399904505,0.140117091,0.440913896,0.659275333,0.988058847,0.490328019,0.475806382,0.490328019
PFS,ACOT12,0.819831633,0.605939588,0.503286347,1.109225935,0.15424707,-1.287909621,0.197777426,0.988058847,0.996610728,1.80E-05,0.996610728
PFS,ACSF3,0.960133183,0.720490542,0.558992913,1.279483456,0.146502548,-0.277696686,0.781245204,0.988058847,0.09345236,2.813875571,0.09345236
PFS,ACTA2,1.038521104,0.781936362,0.59736525,1.379301612,0.144788174,0.261055065,0.794050043,0.988058847,0.431915461,0.617667285,0.431915461
PFS,ACTB,0.800940476,0.608267814,0.446375602,1.054643416,0.140396132,-1.581016824,0.113874191,0.988058847,0.625575256,0.238108982,0.625575256
PFS,ACTR3B,1.046399508,0.756755393,0.69014798,1.446903373,0.165345098,0.274306481,0.783849105,0.988058847,0.796476792,0.066517284,0.796476792
PFS,ACVR1B,0.891502236,0.664814015,0.530672569,1.195486584,0.149696944,-0.767198918,0.442963256,0.988058847,0.25370112,1.302807047,0.25370112
PFS,ACVR1C,0.883551075,0.652725281,0.543279417,1.196004698,0.154488942,-0.801391847,0.422904834,0.988058847,0.493296042,0.469328956,0.493296042
