Endpoint,Gene,HR,Lower CI,CI Width,Upper CI,SE,Statistic,P-value,FDR,Global ZPH P-value,Global ZPH ChiSq,Gene ZPH P-value
PFS,SBNO2,1.149390059,0.854944144,0.69030009,1.545244234,0.150997958,0.922074842,0.356489538,0.999089333,0.91089156,0.536100891,0.609333663
PFS,SDHA,0.996948008,0.761731118,0.543067001,1.304798119,0.137300987,-0.022262468,0.982238588,0.999089333,0.917615997,0.505797028,0.718060064
PFS,SELE,0.911775103,0.666424991,0.581027985,1.247452975,0.159934454,-0.577498562,0.56360271,0.999089333,0.66425742,1.578575317,0.301017912
PFS,SELENOK,0.873975184,0.635157196,0.567431118,1.202588315,0.162849656,-0.827163536,0.408144376,0.999089333,0.974879549,0.216518807,0.879819853
PFS,SELL,0.852151815,0.563202371,0.726143614,1.289345985,0.211292496,-0.757199542,0.448930324,0.999089333,0.823394723,0.908422838,0.721087178
PFS,SELP,1.082827628,0.776751145,0.732761496,1.509512641,0.169498548,0.469477733,0.638728198,0.999089333,0.672602381,1.542038584,0.329277048
PFS,SELPLG,0.89464677,0.646575634,0.591319519,1.237895153,0.1656861,-0.671910974,0.501640374,0.999089333,0.962486275,0.286828882,0.916518199
PFS,SEMG1,0.956354929,0.686811615,0.644870509,1.331682124,0.168915894,-0.264191657,0.79163224,0.999089333,0.829410603,0.883487968,0.542386152
PFS,SERINC1,0.945417626,0.699313437,0.578818001,1.278131438,0.153843497,-0.364841657,0.715229607,0.999089333,0.911221128,0.53462531,0.629671478
PFS,SERINC2,1.044315138,0.742836199,0.725312646,1.468148845,0.173799631,0.249490174,0.802981641,0.999089333,0.357086885,3.232931904,0.130374949
PFS,SERINC3,1.129441366,0.844335408,0.666483384,1.510818791,0.148435689,0.820039607,0.412193529,0.999089333,0.954101457,0.330974875,0.982198738
PFS,SERINC5,0.913860767,0.662655503,0.597639625,1.260295128,0.163994327,-0.549269323,0.582820637,0.999089333,0.925864445,0.467994604,0.628799366
PFS,SERPINA1,1.050812739,0.757677562,0.699680378,1.45735794,0.166871059,0.297019159,0.766451882,0.999089333,0.756866494,1.18390748,0.427205018
PFS,SERPINB2,1.066615807,0.777144343,0.686765537,1.463909879,0.161543793,0.39921583,0.68973418,0.999089333,0.884012946,0.65380021,0.68651571
PFS,SERPINB5,1.097671876,0.783460892,0.754437885,1.537898777,0.172057036,0.54163121,0.588072587,0.999089333,0.908099492,0.548564771,0.903936826
PFS,SERPING1,0.904505389,0.672616252,0.543723668,1.21633992,0.151132012,-0.664101636,0.506625263,0.999089333,0.771641007,1.122518458,0.376495957
PFS,SERPINH1,0.799134506,0.574322783,0.537623283,1.111946066,0.168542738,-1.330380688,0.183392874,0.999089333,0.371580408,3.132931276,0.129696255
PFS,SETBP1,1.186843496,0.856551897,0.787945639,1.644497536,0.166399808,1.029431829,0.303276799,0.999089333,0.914524415,0.519781881,0.88243341
PFS,SETD2,1.01367717,0.778677715,0.540920092,1.319597807,0.134564981,0.100951092,0.919589284,0.999089333,0.542640806,2.146110293,0.29632117
PFS,SF3A1,1.033580028,0.718354744,0.768776346,1.487131091,0.185626008,0.177930515,0.858777546,0.999089333,0.816936552,0.935156303,0.441874552
PFS,SF3B1,1.08497797,0.796382651,0.681772599,1.47815525,0.157775947,0.516933565,0.605202536,0.999089333,0.377771591,3.091233195,0.151172958
PFS,SFN,1.024699245,0.777427869,0.573190736,1.350618604,0.140902366,0.173163524,0.862522894,0.999089333,0.949199001,0.355874847,0.993898892
PFS,SFRP1,0.909830009,0.672327687,0.558903248,1.231230934,0.154345657,-0.612245928,0.540375059,0.999089333,0.94455895,0.378934345,0.861690452
PFS,SFRP2,1.122588973,0.805811651,0.758084826,1.563896477,0.169157623,0.683608571,0.494222371,0.999089333,0.641078533,1.68139263,0.2215234
PFS,SFRP4,0.919828264,0.688674822,0.539893451,1.228568272,0.147664846,-0.565932228,0.571439852,0.999089333,0.945558742,0.374003908,0.93018521
PFS,SFXN1,0.926112164,0.692948974,0.544781035,1.237730009,0.147981795,-0.518711941,0.603961633,0.999089333,0.924299936,0.475223756,0.678693737
PFS,SGK1,0.845156109,0.611332384,0.557080852,1.168413236,0.165248212,-1.018068046,0.308645619,0.999089333,0.876929024,0.684135158,0.893058282
PFS,SGK2,1.081019719,0.771826975,0.742247646,1.514074621,0.17189074,0.45322267,0.65038841,0.999089333,0.781707985,1.08081225,0.519440175
PFS,SH2B2,1.049049212,0.739058733,0.75000323,1.489061964,0.17870845,0.267946151,0.788740769,0.999089333,0.486913111,2.436300273,0.334179246
PFS,SH2D1A,0.88880751,0.655351987,0.550074723,1.205426711,0.15546623,-0.758200611,0.448330896,0.999089333,0.952570482,0.33881511,0.798098559
PFS,SH2D1B,1.027579554,0.724009997,0.734422542,1.458432539,0.178654389,0.15228335,0.878963457,0.999089333,0.940326719,0.399592224,0.998516305
PFS,SHC1,0.966976735,0.732076051,0.545173771,1.277249823,0.14198732,-0.236505925,0.81304011,0.999089333,0.947257048,0.365581624,0.768412927
PFS,SHC2,1.089815245,0.799397776,0.686342247,1.485740022,0.158117598,0.543950726,0.586475381,0.999089333,0.656307338,1.613612023,0.258578052
PFS,SHC3,0.887051285,0.631714798,0.613878918,1.245593716,0.173199497,-0.691990924,0.488943029,0.999089333,0.82993461,0.881314243,0.586208977
PFS,SHC4,0.917664331,0.662202365,0.609475099,1.271677464,0.166462485,-0.516174006,0.605732883,0.999089333,0.945289913,0.375331611,0.917838704
PFS,SIGIRR,1.086123099,0.808780564,0.649789828,1.458570393,0.150432462,0.54918044,0.582881626,0.999089333,0.604949939,1.846122603,0.211370045
PFS,SIGLEC1,1.019706052,0.746613922,0.646074324,1.392688246,0.159044487,0.122697755,0.902346441,0.999089333,0.938465973,0.40857253,0.695369253
PFS,SIGLEC5,0.93989947,0.681834212,0.613804815,1.295639026,0.163771574,-0.378468343,0.705082707,0.999089333,0.948366497,0.360046323,0.739789154
